id,cable_id,description,name,color,cost (millions),Lit,Max,coordinates,length,rfs,year,owners,url
arcos,1078,"[{""landing_point_id"":5791,""latlon"":""17.495509,-88.181617"",""name"":""Belize City, Belize""},{""landing_point_id"":5920,""latlon"":""11.991801,-83.771462"",""name"":""Bluefields, Nicaragua""},{""landing_point_id"":3842,""latlon"":""21.095703,-86.767555"",""name"":""Cancún, Mexico""},{""landing_point_id"":5693,""latlon"":""10.386723,-75.505695"",""name"":""Cartagena, Colombia""},{""landing_point_id"":5784,""latlon"":""24.403318,-75.525910"",""name"":""Cat Island, Bahamas""},{""landing_point_id"":5782,""latlon"":""22.629686,-74.195002"",""name"":""Crooked Island, Bahamas""},{""landing_point_id"":5773,""latlon"":""18.441700,-66.016881"",""name"":""Isla Verde, Puerto Rico, United States""},{""landing_point_id"":5928,""latlon"":""9.437310,-79.753544"",""name"":""Maria Chiquita, Panama""},{""landing_point_id"":4230,""latlon"":""25.067088,-77.340264"",""name"":""Nassau, Bahamas""},{""landing_point_id"":5772,""latlon"":""25.932907,-80.162382"",""name"":""North Miami Beach, Florida, United States""},{""landing_point_id"":4258,""latlon"":""21.851073,-72.120247"",""name"":""Providenciales, Turks and Caicos Islands""},{""landing_point_id"":5848,""latlon"":""15.727151,-88.597241"",""name"":""Puerto Barrios, Guatemala""},{""landing_point_id"":5921,""latlon"":""14.021585,-83.393924"",""name"":""Puerto Cabezas, Nicaragua""},{""landing_point_id"":5851,""latlon"":""15.844826,-87.946070"",""name"":""Puerto Cortes, Honduras""},{""landing_point_id"":5692,""latlon"":""15.261233,-83.776785"",""name"":""Puerto Lempira, Honduras""},{""landing_point_id"":5810,""latlon"":""9.988579,-83.037674"",""name"":""Puerto Limon, Costa Rica""},{""landing_point_id"":5823,""latlon"":""19.799317,-70.691244"",""name"":""Puerto Plata, Dominican Republic""},{""landing_point_id"":5694,""latlon"":""18.621290,-68.438267"",""name"":""Punta Cana, Dominican Republic""},{""landing_point_id"":5965,""latlon"":""11.708598,-70.204379"",""name"":""Punto Fijo, Venezuela""},{""landing_point_id"":5807,""latlon"":""11.482914,-72.952718"",""name"":""Riohacha, Colombia""},{""landing_point_id"":5850,""latlon"":""15.915139,-85.954762"",""name"":""Trujillo, Honduras""},{""landing_point_id"":5908,""latlon"":""20.212598,-87.463599"",""name"":""Tulum, Mexico""},{""landing_point_id"":4275,""latlon"":""12.095316,-68.896616"",""name"":""Willemstad, Curaçao""}]",ARCOS,#4fc1af,450,"1,160","20,000","<MultiGeometry><LineString><coordinates>-74.1950392198192,22.6298921117731,0 -74.365791051982,22.4711585610375,0 -74.4872753409214,22.5433328105735,0 -74.6160838434222,23.7394200063033,0 -75.5258976520266,24.4033285456409,0 -77.3402030073807,25.0672150660093,0 -80.1622224926106,25.933206837953,0</coordinates></LineString><LineString><coordinates>-72.1194059245923,21.8510922411812,0 -72.9153526263612,22.6113225137516,0 -73.6731645895201,22.7872721133335,0 -73.974189766896,22.7444091807508,0 -74.0708205578168,22.653055520243,0 -74.1950392198192,22.6298921117731,0</coordinates></LineString><LineString><coordinates>-66.0168711851852,18.4418351718713,0 -67.5693114916719,18.9595586262616,0 -69.8122786527329,13.590962136695,0 -68.8926503979562,12.0904373265452,0 -70.1281963976838,12.3550037131962,0 -70.5138894838302,12.1126855687413,0 -70.2043193906326,11.7087810894319,0 -70.3933329286086,11.7087810894319,0 -71.7601288353575,13.2471937704814,0 -73.0085654509533,12.5791795494321,0 -72.9527061155246,11.4831123093371,0 -73.8619828151345,12.1215652509318,0 -75.717938531608,11.1237183787844,0 -75.5057316506874,10.3868034557083,0 -79.4446448759493,10.0411014872407,0 -79.7535313758812,9.43762503396889,0 -79.7534825477908,10.0635060782462,0 -82.5422501034517,10.0635060782462,0 -83.0376599087487,9.9885936703727,0 -83.0296521019215,11.4521033402621,0 -83.7715461076069,11.9916824979547,0 -83.0296521019215,12.4094683070662,0 -83.0296521019215,13.6153557368791,0 -83.3964487170794,14.0161100560995,0 -83.0296521019215,14.2530483190557,0 -83.0296521019215,15.3080390187543,0 -83.7768195413711,15.2613148868423,0</coordinates></LineString><LineString><coordinates>-72.1194059245923,21.8510922411812,0 -71.7246796417201,21.6767761740728,0 -70.6911842801079,19.799435767745,0 -70.1568096586639,20.126110388993,0 -68.8204336522402,19.2809303528181,0 -68.4381585324225,18.6213720564552,0 -67.5220459001553,19.289687098408,0 -66.0168711851852,18.4418351718713,0</coordinates></LineString><LineString><coordinates>-83.7768195413711,15.2613148868423,0 -83.7553840096813,16.2494821584451,0 -84.9710081485217,16.2494821584451,0 -85.954698857916,15.9152447405197,0 -86.5688585790895,16.2345745405663,0 -86.9386337077623,16.2345745405663,0 -87.9461525252765,15.8449856571937,0 -87.9484962736162,16.2345745405663,0 -88.5971286266189,15.7272375411234,0 -88.1207617765817,17.0748230414533,0 -88.1821875143171,17.4963852048391,0 -87.7007913709677,17.7236858651383,0 -87.0159774029713,19.5521708641896,0 -87.4635356796668,20.2127362857253,0 -86.7697373430351,20.1974312949016,0 -86.4860461377546,20.9278029278637,0 -86.767588907057,21.095724564803,0 -86.5125109627567,21.8024102733173,0 -83.6677375873958,24.4216471147716,0 -81.1451319525583,24.4216471147716,0 -80.15738851166,24.7957031472897,0 -80.1622224926106,25.933206837953,0</coordinates></LineString></MultiGeometry>","8,600 km",1-Dec,2001,"C&W Networks,  Axtel,  CANTV,  Codetel,  Hondutel,  Belize Telemedia,  Enitel,  AT&T,  Alestra,  Verizon,  RACSA,  United Telecommunication Services (UTS),  Telecarrier,  Tricom USA,  Telecomunicaciones Ultramarinas de Puerto Rico,  Internexa,  Orbinet Overseas,  Telepuerto San Isidro,  Bahamas Telecommunications Company,  Instituto Costarricense de Electricidad,  Orbitel",http://www.cwnetworks.com/
asia-submarine-cable-express-asecahaya-malaysia,1679,"[{""landing_point_id"":5937,""latlon"":""1.389071,103.987042"",""name"":""Changi South, Singapore""},{""landing_point_id"":10355,""latlon"":""14.116604,122.949923"",""name"":""Daet, Philippines""},{""landing_point_id"":5887,""latlon"":""35.037493,139.816908"",""name"":""Maruyama, Japan""},{""landing_point_id"":5902,""latlon"":""2.295516,103.849932"",""name"":""Mersing, Malaysia""},{""landing_point_id"":9118,""latlon"":""10.629985,103.506671"",""name"":""Sihanoukville, Cambodia""},{""landing_point_id"":5857,""latlon"":""22.318261,114.258717"",""name"":""Tseung Kwan O, Hong Kong""}]",Asia Submarine-cable Express (ASE)/Cahaya Malaysia,#f89635,430,"1,360","43,800","<MultiGeometry><LineString><coordinates>110.317281241797,4.31693670528203,0 103.916699838529,8.30593872734503,0 103.507032159991,10.6355844346461,0</coordinates></LineString><LineString><coordinates>106.930369578617,2.63543036093724,0 103.850684260295,2.29570682843529,0</coordinates></LineString><LineString><coordinates>119.371962327376,18.7594837236507,0 114.25868469967,22.318295858961,0</coordinates></LineString><LineString><coordinates>126.857210931006,19.4797309128945,0 122.024011229889,20.267253802831,0 118.032510151256,17.9927785122651,0 116.649893943215,11.5213902841917,0 110.317281241797,4.31693670528203,0 106.930369578617,2.63543036093724,0 104.390234659322,1.37275313604985,0 104.19931682582,1.32237648486383,0 103.98593807073,1.38534713452271,0</coordinates></LineString><LineString><coordinates>139.816967375192,35.0375188597286,0 140.195873356772,28.0969776211811,0 126.857210931006,19.4797309128945,0 124.031138714272,15.1690607571951,0 122.9500847926,14.1165216865976,0</coordinates></LineString></MultiGeometry>","7,500 km",12-Aug,2012,"NTT,  PLDT,  Telekom Malaysia,  Starhub",
falcon,1346,"[{""landing_point_id"":7679,""latlon"":""16.210353,52.182379"",""name"":""Al Ghaydah, Yemen""},{""landing_point_id"":7681,""latlon"":""14.685549,43.008555"",""name"":""Al Hudaydah, Yemen""},{""landing_point_id"":7729,""latlon"":""26.286130,50.214216"",""name"":""Al Khobar, Saudi Arabia""},{""landing_point_id"":4294,""latlon"":""29.369917,47.976522"",""name"":""Al Safat, Kuwait""},{""landing_point_id"":7646,""latlon"":""23.684666,58.176126"",""name"":""Al Seeb, Oman""},{""landing_point_id"":9596,""latlon"":""29.923335,48.531795"",""name"":""Al-Faw, Iraq""},{""landing_point_id"":8848,""latlon"":""27.187204,56.274369"",""name"":""Bandar Abbas, Iran""},{""landing_point_id"":8849,""latlon"":""25.298240,60.629641"",""name"":""Chabahar, Iran""},{""landing_point_id"":3867,""latlon"":""25.294333,51.519391"",""name"":""Doha, Qatar""},{""landing_point_id"":3270,""latlon"":""25.269334,55.308452"",""name"":""Dubai, United Arab Emirates""},{""landing_point_id"":4361,""latlon"":""21.481249,39.182776"",""name"":""Jeddah, Saudi Arabia""},{""landing_point_id"":7645,""latlon"":""26.181345,56.246830"",""name"":""Khasab, Oman""},{""landing_point_id"":4188,""latlon"":""26.229001,50.575837"",""name"":""Manama, Bahrain""},{""landing_point_id"":3212,""latlon"":""19.075782,72.875924"",""name"":""Mumbai, India""},{""landing_point_id"":5950,""latlon"":""19.615528,37.219691"",""name"":""Port Sudan, Sudan""},{""landing_point_id"":5825,""latlon"":""29.972261,32.530142"",""name"":""Suez, Egypt""}]",FALCON,#f89635,400,390,23600,"<MultiGeometry><LineString><coordinates>48.531778136227,29.9236335994195,0 48.6046296471183,29.0239072909246,0</coordinates></LineString><LineString><coordinates>48.531778136227,29.9236335994195,0 48.3186923496789,29.1746850506056,0</coordinates></LineString><LineString><coordinates>60.6273750363426,25.25866514429,0 59.7481764404252,23.7103640154479,0</coordinates></LineString><LineString><coordinates>52.1824591438003,16.2130080634359,0 52.4323613105172,16.2103824180208,0 53.0282593258775,13.813353446821,0</coordinates></LineString><LineString><coordinates>43.0085398614408,14.6856530570182,0 41.9080523597864,15.4833496357068,0</coordinates></LineString><LineString><coordinates>39.1827613216582,21.4815315853539,0 38.8283670414644,20.5153176213928,0 37.2196767748257,19.6155636509037,0</coordinates></LineString><LineString><coordinates>72.8759015156215,19.0760738142769,0 72.609007173442,19.0318593634568,0 70.3934813991913,18.4006049507939,0 62.2690730920983,16.2699196962517,0 60.2868479338252,23.5075971445922,0 58.9368488901772,24.0150833370115,0 58.1762048977746,23.6848788194835,0 57.278646939863,25.520248918507,0 56.7430027880684,26.9731824542064,0 56.2741554639542,27.1872535018867,0 56.2741554639542,26.7683821652162,0 55.257456965443,26.1511559174605,0 53.8491571818457,26.2046159852792,0 48.4628328725684,29.0991104509749,0 47.9748449370137,29.3741013448043,0 49.4802149643454,28.1101573894495,0 50.2141988193844,26.2853729777273,0 50.6534563207102,26.7349831786063,0 50.5760149693204,26.2294972211281,0 51.5876353464291,26.2591024592108,0 51.5192760198554,25.2946057913738,0 52.6001346291651,25.9684184517861,0 55.1494492294567,25.9242485881643,0 55.3085311480115,25.2693513134588,0 55.3655623576101,25.9242485881643,0 56.1651711661597,26.4108638176085,0 56.2014016092437,26.4108638176085,0 56.2468117333248,26.1813069051913,0 56.3604835277986,26.4088521383062,0 56.4684912637849,26.4088521383062,0 58.1762048977746,23.6848788194835,0 58.9019856336247,23.8751372345472,0 59.611946068182,23.5815458323467,0 61.6295227639118,16.1046712050296,0 53.0282593258775,13.813353446821,0</coordinates></LineString><LineString><coordinates>53.0282593258775,13.813353446821,0 44.3026795696601,11.4652155728358,0 43.8777775269147,12.1820919727013,0 43.6486761267122,12.2072914628051,0 42.6129346729412,13.9713843037498,0 41.9080523597864,15.4833496357068,0 38.8283670414644,20.5153176213928,0 34.7410652494474,26.948549411276,0 33.7692885941131,27.8789759780698,0 32.9040548320528,29.0204915441241,0 32.5406761832236,29.9742340956236,0</coordinates></LineString></MultiGeometry>","10,300 km",6-Sep,2006,Global Cloud Xchange,http://www.globalcloudxchange.com
monet,1787,"[{""landing_point_id"":3563,""latlon"":""26.350290,-80.088945"",""name"":""Boca Raton, Florida, United States""},{""landing_point_id"":3347,""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil""},{""landing_point_id"":3411,""latlon"":""-23.961795,-46.328072"",""name"":""Santos, Brazil""}]",Monet,#b3b5b7,400,n.a.,60000,"<MultiGeometry><LineString><coordinates>-33.5425777840293,1.06491323448904,0 -38.5429648667082,-3.7187365325791,0</coordinates></LineString><LineString><coordinates>-46.3280667735439,-23.961845467703,0 -38.5366172149549,-27.5552455815106,0 -27.6767616269285,-13.1158179026488,0 -27.6767616269285,-3.65529394685234,0 -33.5425777840293,1.06491323448904,0 -51.1944207480481,19.802467882752,0 -75.3996770383175,27.4829888394853,0 -78.8024090027902,27.4829888394853,0 -80.0889315289056,26.3505856974379,0</coordinates></LineString></MultiGeometry>","10,556 km",Q4 2016,2016,"Angola Cables,  Google,  Algar Telecom,  Antel Uruguay",
americas-ii,1148,"[{""landing_point_id"":5966,""latlon"":""10.606157,-66.878306"",""name"":""Camuri, Venezuela""},{""landing_point_id"":5575,""latlon"":""4.941316,-52.321087"",""name"":""Cayenne, French Guiana""},{""landing_point_id"":3347,""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil""},{""landing_point_id"":3650,""latlon"":""26.010251,-80.160234"",""name"":""Hollywood, Florida, United States""},{""landing_point_id"":5905,""latlon"":""14.615530,-61.094276"",""name"":""Le Lamentin, Martinique""},{""landing_point_id"":5762,""latlon"":""18.453419,-66.082897"",""name"":""Miramar, Puerto Rico, United States""},{""landing_point_id"":4236,""latlon"":""10.649809,-61.516688"",""name"":""Port of Spain, Trinidad and Tobago""},{""landing_point_id"":5750,""latlon"":""17.771876,-64.819421"",""name"":""St. Croix, Virgin Islands, United States""},{""landing_point_id"":4275,""latlon"":""12.095316,-68.896616"",""name"":""Willemstad, Curaçao""}]",Americas-II,#f89635,365,"1,140","4,000","<MultiGeometry><LineString><coordinates>-60.183672192478,14.7139909821528,0 -60.786210828134,13.7244791114352,0 -65.2140397226685,11.4497105314826,0</coordinates></LineString><LineString><coordinates>-80.1601717128134,26.0105531615743,0 -72.8478233773245,29.6716032656891,0 -66.3662850001571,20.1521490470855,0</coordinates></LineString><LineString><coordinates>-58.310382503909,13.3684569541784,0 -60.2932912554479,12.4430380065565,0 -61.5166790606635,10.6497889272982,0</coordinates></LineString><LineString><coordinates>-38.5429648667082,-3.7187365325791,0 -39.6719679731618,-0.266175891429046,0 -50.4076537272762,7.61675234821004,0 -58.310382503909,13.3684569541784,0</coordinates></LineString><LineString><coordinates>-58.310382503909,13.3684569541784,0 -60.183672192478,14.7139909821528,0</coordinates></LineString><LineString><coordinates>-60.183672192478,14.7139909821528,0 -60.6762987966217,15.0664879699493,0</coordinates></LineString><LineString><coordinates>-60.6762987966217,15.0664879699493,0 -61.0998824809261,15.7241355100132,0 -62.1809364025973,15.7241355100132,0 -64.4948996071141,17.9294227527369,0 -64.8166278948238,17.7739101621269,0 -66.3662850001571,20.1521490470855,0</coordinates></LineString><LineString><coordinates>-61.0941695943482,14.6154536600005,0 -61.2562788545084,14.7206026353933,0 -61.2562788545084,14.9310313117349,0 -60.6762987966217,15.0664879699493,0</coordinates></LineString><LineString><coordinates>-68.8926503979562,12.0904373265452,0 -65.2140397226685,11.4497105314826,0</coordinates></LineString><LineString><coordinates>-66.8782963561935,10.6065015532285,0 -65.2140397226685,11.4497105314826,0</coordinates></LineString></MultiGeometry>","8,373 km",Aug-00,2000,"Embratel,  AT&T,  Verizon,  Sprint,  CANTV,  Tata Communications,  Level 3,  Centennial of Puerto Rico,  Corporacion Nacional de Telecommunicaciones,  Telecom Argentina,  Orange,  Portugal Telecom,  C&W Networks,  Telecom Italia Sparkle,  Entel Chile",
americas-ii,1148,"[{""landing_point_id"":5966,""latlon"":""10.606157,-66.878306"",""name"":""Camuri, Venezuela""},{""landing_point_id"":5575,""latlon"":""4.941316,-52.321087"",""name"":""Cayenne, French Guiana""},{""landing_point_id"":3347,""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil""},{""landing_point_id"":3650,""latlon"":""26.010251,-80.160234"",""name"":""Hollywood, Florida, United States""},{""landing_point_id"":5905,""latlon"":""14.615530,-61.094276"",""name"":""Le Lamentin, Martinique""},{""landing_point_id"":5762,""latlon"":""18.453419,-66.082897"",""name"":""Miramar, Puerto Rico, United States""},{""landing_point_id"":4236,""latlon"":""10.649809,-61.516688"",""name"":""Port of Spain, Trinidad and Tobago""},{""landing_point_id"":5750,""latlon"":""17.771876,-64.819421"",""name"":""St. Croix, Virgin Islands, United States""},{""landing_point_id"":4275,""latlon"":""12.095316,-68.896616"",""name"":""Willemstad, Curaçao""}]",Americas-II,#f89635,365,"1,140","4,000","<MultiGeometry><LineString><coordinates>-52.3209336218908,4.94154900500162,0 -50.4076537272762,7.61675234821004,0</coordinates></LineString><LineString><coordinates>-66.1066660434486,18.4661054185857,0 -66.3662850001571,20.1521490470855,0</coordinates></LineString></MultiGeometry>","8,373 km",Aug-00,2000,"Embratel,  AT&T,  Verizon,  Sprint,  CANTV,  Tata Communications,  Level 3,  Centennial of Puerto Rico,  Corporacion Nacional de Telecommunicaciones,  Telecom Argentina,  Orange,  Portugal Telecom,  C&W Networks,  Telecom Italia Sparkle,  Entel Chile",
aeconnect-aec,1691,"[{""landing_point_id"":14732,""latlon"":""54.206820,-9.232191"",""name"":""Killala, Ireland""},{""landing_point_id"":3783,""latlon"":""40.800283,-72.872249"",""name"":""Shirley, New York, United States""}]",AEConnect (AEC),#b3b5b7,300,n.a.,"65,000","<MultiGeometry><LineString><coordinates>-9.23214578701738,54.2071149828202,0 -9.44840539944204,54.3967564035729,0 -20.2841399108061,54.41434844849,0 -56.8652175120525,42.9819327703699,0 -72.872188594439,40.8005796939723,0</coordinates></LineString></MultiGeometry>","5,522 km",Janaury 2016,2016,Aqua Comms,http://www.aquacomms.com
faster,1794,"[{""landing_point_id"":3554,""latlon"":""43.118544,-124.408259"",""name"":""Bandon, Oregon, United States""},{""landing_point_id"":5885,""latlon"":""34.976653,139.954603"",""name"":""Chikura, Japan""},{""landing_point_id"":5883,""latlon"":""34.336810,136.874331"",""name"":""Shima, Japan""},{""landing_point_id"":5982,""latlon"":""25.181345,121.462619"",""name"":""Tanshui, Taiwan""}]",FASTER,#9ea0a2,300,n.a.,60000,"<MultiGeometry><LineString><coordinates>138.979370312304,32.4907441107323,0 138.047437378744,31.1354809180456,0 131.493535771589,28.8493037284072,0 127.916096899631,29.0157947078087,0 121.462585846359,25.181714657129,0</coordinates></LineString><LineString><coordinates>138.979370312304,32.4907441107323,0 138.307788756809,31.0406441980424,0 131.556035727314,28.6823744663519,0 128.06023742252,28.8276608066589,0 121.462585846359,25.181714657129,0</coordinates></LineString><LineString><coordinates>179.999946721693,38.3954088779188,0 157.21129099039,38.3954088779188,0 140.974193117903,33.2202744079424,0</coordinates></LineString><LineString><coordinates>-124.408333726375,43.1186636423382,0 -139.250217743495,38.3954088779188,0 -179.999944735381,38.3954088779188,0</coordinates></LineString><LineString><coordinates>136.874000710018,34.3368305744122,0 138.979370312304,32.4907441107323,0 140.974193117903,33.2202744079424,0 139.954857902509,34.9765677244994,0</coordinates></LineString></MultiGeometry>","11,629 km",16-Apr,2016,"Google,  KDDI,  SingTel,  China Telecom,  China Mobile,  Global Transit",
safe,1220,"[{""landing_point_id"":5906,""latlon"":""-20.474004,57.485404"",""name"":""Baie Jacotet, Mauritius""},{""landing_point_id"":4322,""latlon"":""9.938091,76.269575"",""name"":""Cochin, India""},{""landing_point_id"":5941,""latlon"":""-33.727220,18.445774"",""name"":""Melkbosstrand, South Africa""},{""landing_point_id"":5942,""latlon"":""-28.950660,31.757877"",""name"":""Mtunzini, South Africa""},{""landing_point_id"":3307,""latlon"":""5.353620,100.363020"",""name"":""Penang, Malaysia""},{""landing_point_id"":5978,""latlon"":""-21.000273,55.279155"",""name"":""Saint Paul, Réunion""}]",SAFE,#8dc851,290,440,440,"<MultiGeometry><LineString><coordinates>31.7579618939558,-28.9505554280769,0 33.7842299897784,-35.4928286396332,0</coordinates></LineString><LineString><coordinates>76.2695514552781,9.93838596317766,0 75.8800986061702,0.0151706078935865,0</coordinates></LineString><LineString><coordinates>54.0481804783558,-21.0000547969485,0 55.2792342937657,-21.0000547969485,0 58.3633141402246,-21.0000547969485,0 58.7954427403507,-20.4739988813005,0 74.5194550388128,-0.437559192964535,0 96.2015685852502,6.23407922918233,0 100.362991418509,5.35384301658567,0</coordinates></LineString><LineString><coordinates>18.4458619493723,-33.727214297831,0 17.9918583647426,-33.8550399585031,0 17.9918583647426,-34.1877843482111,0 19.3375605364346,-35.4928286396332,0 33.7842299897784,-35.4928286396332,0 41.2747520271723,-35.4928286396332,0 54.0481804783558,-21.0000547969485,0 54.4743520514518,-20.4739988813005,0 57.4854827308386,-20.4739988813005,0 58.7954427403507,-20.4739988813005,0</coordinates></LineString></MultiGeometry>","13,500 km",2-Apr,2002,"Orange,  Telekom Malaysia,  Telkom South Africa,  Tata Communications,  AT&T,  BT,  Camtel,  Angola Telecom,  Ghana Telecommunications Company,  Mauritius Telecom,  Verizon,  NATCOM (Nigeria),  OPT,  Telefonica,  Belgacom,  China Telecom,  Chunghwa Telecom,  Cote d’Ivoire Telecom,  Maroc Telecom,  KT,  KPN,  SingTel,  Sprint,  Telecom Italia Sparkle,  Telecom Namibia,  Telstra,  PCCW,  Sonatel,  Neotel,  Vodafone",
eulalink,1725,"[{""landing_point_id"":3347,""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil""},{""landing_point_id"":3411,""latlon"":""-23.961795,-46.328072"",""name"":""Santos, Brazil""},{""landing_point_id"":9754,""latlon"":""37.957218,-8.869594"",""name"":""Sines, Portugal""}]",eulaLink,#9ea0a2,250,n.a.,30000,"<MultiGeometry><LineString><coordinates>-38.5429648667082,-3.7187365325791,0 -32.405273902206,1.40233428211605,0 -25.702837244025,-3.83264880398791,0 -25.702837244025,-13.7083800222453,0 -37.1555635058063,-28.8441120384199,0 -46.3280667735439,-23.961845467703,0</coordinates></LineString><LineString><coordinates>-38.5429648667082,-3.7187365325791,0 -35.3851546037306,1.72574824356559,0 -25.4750053741733,18.372154974929,0 -17.877061537878,29.4083062264481,0 -8.8695972157252,37.957215275192,0</coordinates></LineString></MultiGeometry>","5,900 km",2018,2018,"Telebras,  IslaLink",http://www.islalink.es
sea-us,1823,"[{""landing_point_id"":3902,""latlon"":""7.079987,125.612813"",""name"":""Davao, Philippines""},{""landing_point_id"":4966,""latlon"":""33.862201,-118.399571"",""name"":""Hermosa Beach, California, United States""},{""landing_point_id"":16518,""latlon"":""1.378622,125.065645"",""name"":""Kauditan, Indonesia""},{""landing_point_id"":5760,""latlon"":""21.460253,-158.206046"",""name"":""Makaha, Hawaii, United States""},{""landing_point_id"":5973,""latlon"":""13.464652,144.694640"",""name"":""Piti, Guam""}]",SEA-US,#9ea0a2,250,n.a.,20000,"<MultiGeometry><LineString><coordinates>125.612875875004,7.07998888316073,0 126.075863828269,5.90157829316023,0 128.549104263702,3.46939373172216,0</coordinates></LineString><LineString><coordinates>125.065610637692,1.37861081804695,0 125.565610283488,1.37861081804695,0 128.549104263702,3.46939373172216,0 131.0418759353,4.22549223946103,0 135.609255512225,10.0385051467151,0 144.694698294762,13.464777824933,0 146.157783195799,12.8599094248721,0 151.588834035892,12.8701915363935,0 179.999946721693,17.2334532476313,0</coordinates></LineString><LineString><coordinates>-118.399451264374,33.8624759069565,0 -139.250217743495,26.9167709273895,0 -147.027800124408,26.9167709273895,0 -158.456014684804,21.9248541377036,0 -158.456014684804,21.6927473183662,0 -158.206014861906,21.4605385114996,0 -161.169977605957,20.051729655205,0 -179.999944735381,17.2193686448876,0</coordinates></LineString></MultiGeometry>","15,000 km",Q4 2016,2016,"RAM Telecom International,  Globe Telecom,  Hawaiian Telcom,  Telkom Indonesia,  GTA TeleGuam",
columbus-iii,1046,"[{""landing_point_id"":5944,""latlon"":""36.276555,-6.087222"",""name"":""Conil, Spain""},{""landing_point_id"":3650,""latlon"":""26.010251,-80.160234"",""name"":""Hollywood, Florida, United States""},{""landing_point_id"":3146,""latlon"":""38.725675,-9.150160"",""name"":""Lisbon, Portugal""},{""landing_point_id"":3215,""latlon"":""37.650089,12.591285"",""name"":""Mazara del Vallo, Italy""},{""landing_point_id"":5945,""latlon"":""37.739249,-25.668756"",""name"":""Ponta Delgada, Portugal""}]",Columbus-III,#958047,236,180,340,"<MultiGeometry><LineString><coordinates>-6.08712848372714,36.2767206907208,0 -6.18346630610554,35.9165832081597,0</coordinates></LineString><LineString><coordinates>-10.8492344852066,35.908199330363,0 -9.14806381533185,38.7238460484282,0</coordinates></LineString><LineString><coordinates>-25.6687064088286,37.7396028964395,0 -26.1797900311472,35.8802730303726,0</coordinates></LineString><LineString><coordinates>-80.1601717128134,26.0105531615743,0 -73.15832120424,31.5400999337668,0 -57.4456858508433,31.5400999337668,0 -30.9913588882117,35.8714896369402,0 -6.18346630610554,35.9165832081597,0</coordinates></LineString><LineString><coordinates>-6.18346630610554,35.9165832081597,0 -5.32042980811368,35.9182440596376,0 -2.10915278613747,35.7867709674174,0 2.38806082486923,37.597679180352,0 10.8454767085565,37.6776412807264,0 12.5913739092465,37.6505844408328,0</coordinates></LineString></MultiGeometry>","9,833 km",Dec-99,1999,"Telecom Italia Sparkle,  AT&T,  Verizon,  Telefonica,  Portugal Telecom,  CANTV,  Tata Communications,  Ukrtelecom,  Telkom South Africa,  Telecom Argentina,  Instituto Costarricense de Electricidad,  Embratel,  Cyta",
atlantis-2,1045,"[{""landing_point_id"":4180,""latlon"":""14.686624,-17.451914"",""name"":""Dakar, Senegal""},{""landing_point_id"":5722,""latlon"":""28.046676,-16.538584"",""name"":""El Médano, Canary Islands, Spain""},{""landing_point_id"":3347,""latlon"":""-3.718836,-38.542968"",""name"":""Fortaleza, Brazil""},{""landing_point_id"":3330,""latlon"":""-36.472532,-56.695499"",""name"":""Las Toninas, Argentina""},{""landing_point_id"":3146,""latlon"":""38.725675,-9.150160"",""name"":""Lisbon, Portugal""},{""landing_point_id"":4257,""latlon"":""14.923049,-23.521247"",""name"":""Praia, Cape Verde""}]",Atlantis-2,#f04230,230,40,160,"<MultiGeometry><LineString><coordinates>-16.5385859235667,28.0467418421099,0 -15.4252566341346,29.0849446972956,0</coordinates></LineString><LineString><coordinates>-38.5429648667082,-3.7187365325791,0 -34.1297843992966,-3.47332261305154,0 -32.611328443735,-4.69275412267932,0 -32.611328443735,-11.6718969548104,0 -41.3647890395764,-23.169674459838,0</coordinates></LineString><LineString><coordinates>-41.3647890395764,-23.169674459838,0 -53.334409466435,-37.3538075692692,0 -56.6954422416979,-36.4709589201606,0</coordinates></LineString><LineString><coordinates>-23.5056220036779,14.9353717811273,0 -21.0748131788107,14.8885655771839,0 -17.4457141871985,14.6865977137454,0</coordinates></LineString><LineString><coordinates>-32.611328443735,-4.69275412267932,0 -21.0748131788107,14.8885655771839,0 -21.0723717742902,20.267253802831,0 -15.7166626776998,27.260631895851,0 -16.1896603894988,27.8442690014524,0 -15.4252566341346,29.0849446972956,0 -9.14806381533185,38.7238460484282,0</coordinates></LineString></MultiGeometry>","8,500 km",Feb-00,2000,"Embratel,  Deutsche Telekom,  Telecom Italia Sparkle,  Telecom Argentina,  Telefonica,  Portugal Telecom,  Orange,  Telefónica Larga Distancia de Puerto Rico,  AT&T,  Belgacom,  KT,  SingTel,  Sprint,  Tata Communications,  Verizon,  BT",
